"","Var1","Var2","Var3","Freq"
"1","Adolescent","Betou","F",4
"2","Adulte","Betou","F",22
"3","Enfant","Betou","F",32
"4","Personne âgée","Betou","F",4
"5","Adolescent","Dongou","F",20
"6","Adulte","Dongou","F",72
"7","Enfant","Dongou","F",107
"8","Personne âgée","Dongou","F",26
"9","Adolescent","Enyelle","F",9
"10","Adulte","Enyelle","F",66
"11","Enfant","Enyelle","F",59
"12","Personne âgée","Enyelle","F",25
"13","Adolescent","Macao","F",18
"14","Adulte","Macao","F",83
"15","Enfant","Macao","F",47
"16","Personne âgée","Macao","F",24
"17","Adolescent","Minganga","F",13
"18","Adulte","Minganga","F",40
"19","Enfant","Minganga","F",38
"20","Personne âgée","Minganga","F",16
"21","Adolescent","Betou","M",2
"22","Adulte","Betou","M",22
"23","Enfant","Betou","M",35
"24","Personne âgée","Betou","M",2
"25","Adolescent","Dongou","M",16
"26","Adulte","Dongou","M",55
"27","Enfant","Dongou","M",112
"28","Personne âgée","Dongou","M",17
"29","Adolescent","Enyelle","M",4
"30","Adulte","Enyelle","M",41
"31","Enfant","Enyelle","M",62
"32","Personne âgée","Enyelle","M",6
"33","Adolescent","Macao","M",17
"34","Adulte","Macao","M",76
"35","Enfant","Macao","M",50
"36","Personne âgée","Macao","M",16
"37","Adolescent","Minganga","M",11
"38","Adulte","Minganga","M",38
"39","Enfant","Minganga","M",61
"40","Personne âgée","Minganga","M",6
